"","V1","V2"
"1","L","L"
"2","L","L"
"3","R","R"
"4","R","L"
"5","L","L"
"6","L","R"
"7","L","L"
"8","L","L"
"9","L","R"
"10","R","L"
"11","R","R"
"12","R","R"
"13","L","L"
"14","R","L"
"15","R","L"
"16","L","R"
"17","L","L"
"18","L","R"
"19","R","R"
"20","R","R"
"21","L","R"
"22","L","R"
"23","R","L"
"24","L","R"
"25","R","R"
"26","R","L"
"27","R","L"
"28","R","R"
"29","L","R"
"30","L","R"
"31","R","R"
"32","L","R"
"33","L","R"
"34","L","R"
"35","R","R"
"36","L","L"
"37","L","L"
"38","L","L"
"39","L","L"
"40","R","R"
"41","R","L"
"42","R","R"
"43","R","L"
"44","L","R"
"45","R","L"
"46","R","R"
"47","R","R"
"48","L","R"
"49","L","R"
"50","L","L"
"51","R","R"
"52","R","R"
"53","R","L"
"54","L","L"
"55","L","L"
"56","L","L"
"57","L","L"
"58","L","L"
"59","L","R"
"60","L","L"
"61","R","L"
"62","L","R"
"63","L","R"
"64","R","R"
"65","R","R"
"66","L","R"
"67","R","R"
"68","R","R"
"69","L","L"
"70","R","R"
"71","L","R"
"72","R","L"
"73","L","R"
"74","L","R"
"75","R","R"
"76","L","L"
"77","R","L"
"78","L","L"
"79","R","R"
"80","R","L"
"81","L","L"
"82","L","R"
"83","L","R"
"84","L","R"
"85","R","L"
"86","L","R"
"87","L","R"
"88","R","R"
"89","L","R"
"90","L","L"
"91","L","R"
"92","L","R"
"93","R","R"
"94","L","R"
"95","R","L"
"96","R","R"
"97","L","L"
"98","L","R"
"99","L","L"
"100","R","R"
